Word,Meaning
acquisition,"
----------noun----------
Meaning: An asset or object bought or obtained, typically by a library or museum.
Example: the legacy will be used for new acquisitions

(purchase,accession,addition,asset,)
----------noun----------
Meaning: The learning or developing of a skill, habit, or quality.
Example: the acquisition of management skills

(assumption,assuming,taking on,acquiring,acquisition,affecting,affectation,espousal,advocacy,promotion,appropriation,arrogation,)
"
acquit,"
----------verb----------
Meaning: Free (someone) from a criminal charge by a verdict of not guilty.
Example: she was acquitted on all counts

(absolve,clear,exonerate,exculpate,declare innocent,find innocent,pronounce not guilty,)
----------verb----------
Meaning: Conduct oneself or perform in a specified way.
Example: the goalkeeper acquitted himself well

(conduct oneself,bear oneself,)
"
acquittal,"
----------noun----------
Meaning: A judgment that a person is not guilty of the crime with which the person has been charged.
Example: the trial resulted in an acquittal

(absolution,clearing,exoneration,exculpation,declaration of innocence,)
"
actively,NULL
adamant,"
----------adjective----------
Meaning: Refusing to be persuaded or to change one's mind.
Example: he is adamant that he is not going to resign

(unshakeable,immovable,inflexible,unwavering,uncompromising,resolute,resolved,determined,firm,rigid,steadfast,)

"
adapt,"
----------transitive verb----------
Meaning: Make (something) suitable for a new use or purpose; modify.
Example: hospitals have had to be adapted for modern medical practice

(modify,alter,make alterations to,change,adjust,make adjustments to,convert,transform,redesign,restyle,refashion,remodel,reshape,revamp,rework,redo,reconstruct,reorganize,)
"
adapted,"
----------verb----------
Meaning: Make (something) suitable for a new use or purpose; modify.
Example: hospitals have had to be adapted for modern medical practice

(modify,alter,make alterations to,change,adjust,make adjustments to,convert,transform,redesign,restyle,refashion,remodel,reshape,revamp,rework,redo,reconstruct,reorganize,)
"
adept,"
----------adjective----------
Meaning: Very skilled or proficient at something.
Example: he is adept at cutting through red tape

(expert,proficient,accomplished,skilful,talented,gifted,masterly,virtuoso,consummate,peerless,)

----------noun----------
Meaning: A person who is skilled or proficient at something.
Example: they are adepts at kung fu and karate

(expert,past master,master,master hand,genius,virtuoso,maestro,doyen,artist,professional,veteran,old hand,)
"
adequate,"
----------adjective----------
Meaning: Satisfactory or acceptable in quality or quantity.
Example: this office is perfectly adequate for my needs

(sufficient,enough,ample,requisite,apposite,appropriate,suitable,)
"
adhered,"
----------verb----------
Meaning: Stick fast to (a surface or substance)
Example: paint won't adhere well to a greasy surface

(stick,stick fast,cling,hold fast,cohere,bond,attach,)
----------verb----------
Meaning: Believe in and follow the practices of.
Example: I do not adhere to any organized religion

(get involved with,take up with,join up with,go around with,string along with,become friendly with,make friends with,strike up a friendship with,start seeing,make the acquaintance of,)
"
adjacent,"
----------adjective----------
Meaning: Next to or adjoining something else.
Example: adjacent rooms

(adjoining,neighbouring,neighbouring on,next door to,abutting,close to,near to,next to,by,close by,by the side of,bordering,bordering on,beside,alongside,abreast of,contiguous with,proximate to,attached to,touching,joining,)
"
admirably,"
----------adverb----------
Meaning: In a way that arouses or deserves respect and approval.
"
admiration,"
----------noun----------
Meaning: Respect and warm approval.
Example: their admiration for each other was genuine

(commendation,acclaim,applause,approbation,approval,appreciation,regard,high regard,respect,praise,esteem,veneration,adulation,extolment,)
"
admonish,"
----------verb----------
Meaning: Warn or reprimand someone firmly.
Example: she admonished me for appearing at breakfast unshaven

(reprimand,rebuke,scold,reprove,upbraid,chastise,chide,censure,castigate,lambast,berate,reproach,lecture,criticize,take to task,pull up,read the Riot Act to,give a piece of one's mind to,haul over the coals,)
"
admonitory,"
----------adjective----------
Meaning: Giving or conveying a warning or reprimand.
Example: the sergeant lifted an admonitory finger

(menacing,intimidating,bullying,frightening,terrifying,scary,fearsome,mean-looking,alarming,forbidding,baleful,)
"
adolescents,"
----------adjective----------
Meaning: (of a young person) in the process of developing from a child into an adult.
Example: many parents find it hard to understand their adolescent children

(teenage,teenaged,pubescent,youthful,young,juvenile,)

----------noun----------
Meaning: An adolescent boy or girl.
Example: the books are aimed at children and adolescents

(teenager,youngster,young person,young adult,young man,young woman,young lady,young one,youth,juvenile,minor,)
"
adorable,"
----------adjective----------
Meaning: Inspiring great affection; delightful; charming.
Example: I have four adorable Siamese cats

(lovable,appealing,charming,cute,sweet,enchanting,bewitching,captivating,engaging,endearing,dear,darling,precious,delightful,lovely,beautiful,attractive,gorgeous,winsome,winning,fetching,pleasing,)
"
adorn,"
----------transitive verb----------
Meaning: Make more beautiful or attractive.
Example: pictures and prints adorned his walls

(embellish,decorate,furnish,ornament,add ornament to,enhance,)
"
adulteration,the action of making something poorer in quality by the addition of another substance
advantage,"
----------noun----------
Meaning: A condition or circumstance that puts one in a favorable or superior position.
Example: companies with a computerized database are at an advantage

(upper hand,edge,lead,head,whip hand,trump card,)

"
adversely,"
"
advised,"
----------adjective----------
Meaning: Behaving as someone, especially the speaker, would recommend; sensible; wise.
Example: the department would be advised to do some research

(wise,prudent,sensible,advised,)
"
aesthetics,a set of principles with the nature and appreciation of beauty.
affable,"
----------adjective----------
Meaning: Friendly, good-natured, or easy to talk to.
Example: an affable and agreeable companion

(friendly,amiable,genial,congenial,cordial,warm,pleasant,pleasing,nice,likeable,personable,charming,agreeable,sympathetic,benevolent,benign,good-humoured,good-natured,kindly,kind,courteous,civil,gracious,approachable,accessible,amenable,sociable,outgoing,gregarious,convivial,jovial,clubbable,comradely,neighbourly,welcoming,hospitable,obliging,easy-going,informal,open,communicative,unreserved,uninhibited,natural,relaxed,easy,)
"
affect,"
----------transitive verb----------
Meaning: Have an effect on; make a difference to.
Example: the dampness began to affect my health

(affect,influence,exert influence on,act on,work on,condition,touch,interact with,have an impact on,impact on,take hold of,attack,infect,strike,strike at,hit,)
"
affiliate,NULL
affinity,"
----------noun----------
Meaning: A spontaneous or natural liking or sympathy for someone or something.
Example: he has an affinity for the music of Berlioz

(empathy,rapport,sympathy,accord,harmony,like-mindedness,)
"
affluence,"
----------noun----------
Meaning: The state of having a great deal of money; wealth.
Example: a sign of our growing affluence

(wealth,prosperity,opulence,fortune,richness,luxury,plenty,)
"
affordability,"
"
afternoon,"
----------noun----------
Meaning: The time from noon or lunchtime to evening.

----------adverb----------
Meaning: In the afternoon; every afternoon.
"
agendas,"
----------noun----------
Meaning: A list of items to be discussed at a formal meeting.
----------noun----------
Meaning: An appointment diary.
Example: Alter people's agendas so that no two contain any common item.

(appointment book,engagement book,organizer,personal organizer,calendar,agenda,)
"
aggravate,"
----------transitive verb----------
Meaning: Make (a problem, injury, or offense) worse or more serious.
Example: military action would only aggravate the situation

(worsen,make worse,exacerbate,inflame,compound,)
----------transitive verb----------
Meaning: Annoy or exasperate (someone), especially persistently.

(annoy,irritate,exasperate,anger,irk,vex,put out,nettle,provoke,incense,rile,infuriate,antagonize,get on someone's nerves,rub up the wrong way,make someone's blood boil,ruffle someone's feathers,ruffle,try someone's patience,make someone's hackles rise,)
"
agitation,"
----------noun----------
Meaning: A state of anxiety or nervous excitement.
Example: she was wringing her hands in agitation

(anxiety,perturbation,disquiet,distress,concern,trouble,alarm,worry,upset,)
----------noun----------
Meaning: Brisk stirring or disturbance of a liquid.
Example: the techniques mostly involve agitation by stirring

(stirring,whisking,beating,churning,shaking,turbulence,tossing,blending,whipping,folding,rolling,jolting,)
----------noun----------
Meaning: The arousing of public concern about an issue and pressing for action on it.
Example: widespread agitation for social reform

(campaigning,striving,battling,fighting,struggling,crusading,)
"
agog,"
----------adjective----------
Meaning: Very eager or curious to hear or see something.
Example: I'm all agog to see London

(eager,excited,impatient,in suspense,on tenterhooks,on the edge of one's seat,on pins and needles,keen,anxious,longing,)
"
Agriculture,"
----------noun----------
Meaning: The science or practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products.
Example: Success in obtaining the required output of food from agriculture depends on soil fertility.

(farming,cultivation,tillage,tilling,husbandry,land management,farm management,crofting,)
"
ahead,"
----------adverb----------
Meaning: Further forward in space; in the line of one's forward motion.
Example: he had to give his attention to the road ahead

(forwards,towards the front,frontwards,)
"
aid,"
----------noun----------
Meaning: Help, typically of a practical nature.
Example: he saw the pilot slumped in his cockpit and went to his aid

(assistance,support,)

----------transitive verb----------
Meaning: Help, assist, or support (someone or something) in the achievement of something.
Example: women were aided in childbirth by midwives

(help,assist,abet,come to the aid of,give assistance to,lend a hand to,be of service to,)
"
aids,"
----------noun----------
Meaning: A disease in which there is a severe loss of the body's cellular immunity, greatly lowering the resistance to infection and malignancy.
"
ail,"
----------transitive verb----------
Meaning: Trouble or afflict (someone) in mind or body.
Example: exercise is good for whatever ails you

(trouble,bother,burden,distress,cause trouble to,cause suffering to,beset,harass,worry,oppress,annoy,vex,irritate,exasperate,strain,stress,tax,)
"
alacrity,"
----------noun----------
Meaning: Brisk and cheerful readiness.
Example: she accepted the invitation with alacrity

(eagerness,willingness,readiness,)
"
alarmingly,"
"
albatross,"
"
albeit,"
----------conjunction----------
Meaning: Although.
Example: he was making progress, albeit rather slowly

(although,even if,even though,in spite of the fact that,despite the fact that,notwithstanding the fact that,notwithstanding that,for all that,while,whilst,granted that,even supposing,despite the possibility that,albeit,however,yet,but,)
"
alcove,"
----------noun----------
Meaning: A recess in the wall of a room or garden.
Example: Large social gatherings usually take place in a special room with two alcoves built into a wall.

(recess,niche,nook,opening,bay,hollow,cavity,corner,indentation,booth,)
"
alienate,"
----------verb----------
Meaning: Make (someone) feel isolated or estranged.
Example: an urban environment which would alienate its inhabitants

(estrange,turn away,set apart,drive apart,isolate,detach,distance,put at a distance,)
----------verb----------
Meaning: Transfer ownership of (property rights) to another person or group.
Example: they defended the Masai against attempts to alienate their land

(transfer,convey,pass on,hand over,devolve,)
"
allegations,"
----------noun----------
Meaning: A claim or assertion that someone has done something illegal or wrong, typically one made without proof.
Example: he made allegations of corruption against the administration

(claim,assertion,declaration,statement,proclamation,contention,argument,affirmation,averment,avowal,attestation,testimony,certification,evidence,witness,charge,accusation,suggestion,implication,hint,insinuation,indication,intimation,imputation,plea,pretence,profession,)
"
alleged,"
----------adjective----------
Meaning: (of an incident or a person) said, without proof, to have taken place or to have a specified illegal or undesirable quality.
Example: the alleged conspirators

(supposed,so-called,claimed,professed,purported,ostensible,apparent,putative,unproven,rumoured,reputed,presumed,assumed,reported,declared,stated,avowed,described,)
"
allegedly,"
----------adverb----------
Meaning: Used to convey that something is claimed to be the case or have taken place, although there is no proof.
Example: he was allegedly a leading participant in the coup attempt

(reportedly,supposedly,reputedly,purportedly,ostensibly,apparently,by all accounts,so the story goes,putatively,presumedly,presumably,assumedly,declaredly,avowedly,)
"
allegiance,"
----------noun----------
Meaning: Loyalty or commitment of a subordinate to a superior or of an individual to a group or cause.
Example: those wishing to receive citizenship must swear allegiance to the republic

(loyalty,faithfulness,fidelity,obedience,fealty,adherence,homage,devotion,bond,)
"
Allergy,"
----------noun----------
Meaning: A damaging immune response by the body to a substance, especially pollen, fur, a particular food, or dust, to which it has become hypersensitive.
Example: Symptoms of a food allergy usually develop within about an hour after eating the offending food.

(hypersensitivity,sensitivity,susceptibility,)
"
alleviate,"
----------transitive verb----------
Meaning: Make (suffering, deficiency, or a problem) less severe.
Example: he couldn't prevent her pain, only alleviate it

(reduce,ease,relieve,take the edge off,deaden,dull,diminish,lessen,weaken,lighten,attenuate,allay,assuage,palliate,damp,soothe,help,soften,temper,control,still,quell,tone down,blunt,dilute,moderate,mitigate,modify,abate,lull,pacify,placate,mollify,sweeten,)
"
alliance,"
----------noun----------
Meaning: A union or association formed for mutual benefit, especially between countries or organizations.
Example: a defensive alliance between Australia and New Zealand

(association,union,league,treaty,pact,compact,entente,concordat,)
"
alligator,"
"
Allium,"
----------noun----------
Meaning: A bulbous plant of a genus that includes the onion and its relatives (e.g. garlic, leek, and chives).
"
allocate,"
----------transitive verb----------
Meaning: Distribute (resources or duties) for a particular purpose.
Example: the authorities allocated 50,000 places to refugees

(allot,assign,issue,award,grant,administer,devote,)
"
allowances,"
----------noun----------
Meaning: The amount of something that is permitted, especially within a set of regulations or for a specified purpose.
Example: your baggage allowance

(permitted amount,permitted quantity,allocation,allotment,quota,share,ration,grant,limit,portion,helping,slice,lot,)
----------noun----------
Meaning: A sum of money paid regularly to a person to meet needs or expenses.
Example: the elderly receive a heating allowance every winter

(payment,pocket money,sum of money,remittance,contribution,consideration,handout,grant,subsidy,maintenance,financial support,subsistence,benefit,stipend,pension,annuity,keep,upkeep,expenses,)
----------noun----------
Meaning: Tolerance.

----------verb----------
Meaning: Give (someone) a sum of money as an allowance.
"
alloy,"
----------noun----------
Meaning: A metal made by combining two or more metallic elements, especially to give greater strength or resistance to corrosion.
Example: an alloy of nickel, bronze, and zinc

(mixture,mix,amalgam,fusion,meld,blend,compound,combination,admixture,composite,union,)

----------transitive verb----------
Meaning: Mix (metals) to make an alloy.
Example: alloying tin with copper to make bronze

(mix,amalgamate,fuse,meld,blend,compound,combine,unite,intermix,intermingle,)
"
Allude,"
----------intransitive verb----------
Meaning: Suggest or call attention to indirectly; hint at.
Example: she had a way of alluding to Jean but never saying her name

(refer to,suggest,hint at,imply,mention,touch on,mention in passing,mention en passant,speak briefly of,make an allusion to,cite,)
"
